,latitude,longitude,time,magnitude,catalog_id
346,46.922,6.897,1982-09-05 01:08:15.300000000,2.2,real
347,47.43,7.885,1982-09-05 05:22:32.900000000,2.4000000000000004,real
348,46.6,10.1,1982-09-06 06:18:43.700000000,2.5,real
349,47.417,7.89,1982-09-06 14:34:59.100000000,2.3000000000000003,real
350,45.85,7.16,1982-09-11 15:39:34.600000000,2.3000000000000003,real
351,46.387,7.54,1982-09-30 11:16:32.000000000,2.3000000000000003,real
352,47.7,7.84,1982-10-04 04:06:31.000000000,3.0,real
353,45.952,7.55,1982-10-23 16:02:26.600000000,2.3000000000000003,real
354,46.1,6.3,1982-11-08 13:02:31.900000000,3.3000000000000003,real
355,47.233,9.582,1982-12-04 14:29:47.500000000,2.2,real
356,46.088,8.238,1983-01-03 21:57:18.500000000,2.4000000000000004,real
357,47.61,8.0,1983-01-27 21:58:36.000000000,2.6,real
358,47.66,9.29,1983-02-19 02:06:47.600000000,2.3000000000000003,real
359,47.08,9.113,1983-03-03 03:09:53.200000000,2.5,real
360,45.81,7.097,1983-03-05 19:36:55.600000000,2.8000000000000003,real
361,47.425,9.752,1983-03-14 15:29:28.400000000,2.2,real
362,47.067,8.672,1983-03-21 00:59:32.400000000,2.3000000000000003,real
363,46.135,6.745,1983-03-21 05:14:57.000000000,3.1,real
364,46.053,7.79,1983-03-27 21:36:55.700000000,2.4000000000000004,real
365,46.147,7.525,1983-03-28 20:05:56.700000000,2.3000000000000003,real
366,46.148,7.547,1983-03-28 20:07:49.100000000,3.3000000000000003,real
367,46.143,7.557,1983-03-28 20:20:38.400000000,2.3000000000000003,real
368,45.738,7.148,1983-03-29 18:06:39.800000000,2.9000000000000004,real
369,46.898,8.467,1983-04-23 00:04:38.100000000,2.7,real
370,46.71,7.208,1983-04-25 23:32:03.000000000,2.5,real
371,46.713,7.203,1983-04-26 15:29:56.700000000,2.3000000000000003,real
372,46.707,7.235,1983-04-26 19:02:25.300000000,2.5,real
373,46.718,7.232,1983-04-26 22:43:50.600000000,2.4000000000000004,real
374,46.865,7.387,1983-05-01 13:27:25.200000000,2.5,real
375,46.308,7.728,1983-05-04 02:51:56.500000000,3.2,real
376,45.79,7.148,1983-05-05 12:51:11.100000000,2.2,real
377,46.162,6.935,1983-05-06 18:03:35.400000000,2.6,real
378,47.258,9.548,1983-05-12 10:45:15.600000000,2.4000000000000004,real
379,45.817,7.155,1983-05-13 03:11:12.700000000,2.2,real
380,47.268,9.567,1983-05-13 16:30:02.900000000,2.5,real
381,47.647,7.842,1983-05-21 19:41:23.500000000,2.5,real
382,45.77,7.13,1983-06-02 03:45:54.800000000,2.2,real
383,45.853,7.17,1983-06-10 05:36:09.900000000,2.5,real
384,46.388,10.065,1983-06-13 17:39:53.100000000,2.3000000000000003,real
385,47.475,7.063,1983-06-29 06:16:37.100000000,2.5,real
386,47.443,7.008,1983-06-29 10:56:13.600000000,2.4000000000000004,real
387,46.71,10.333,1983-06-30 02:58:15.300000000,2.3000000000000003,real
388,46.228,7.303,1983-07-05 11:46:13.500000000,2.5,real
389,46.828,6.703,1983-07-08 18:04:37.700000000,2.6,real
390,46.623,10.105,1983-07-09 07:00:56.000000000,2.3000000000000003,real
391,46.623,10.125,1983-07-11 09:36:06.400000000,2.8000000000000003,real
392,47.696,8.405,1983-07-13 20:24:54.100000000,2.7,real
393,46.702,10.507,1983-07-31 18:50:17.800000000,2.5,real
